"Papers","Area"
"1162","finance"
"671","operations management"
"423","marketing"
"398","accounting"
"293","information systems"
"255","behavioral economics and decision analysis"
"222","business strategy"
"192","behavioral economics"
"176","decision analysis"
"176","optimization"
"123","entrepreneurship and innovation"
"116","organizations"
"99","revenue management and market analytics"
"97","stochastic models and simulation"
"68","data science"
"62","healthcare management"
"59","judgment and decision making"
"39","special issue on the human-algorithm connection"
"27","big data analytics"
"21","special section of management science on business and climate change"
"20","management science special section on data-driven prescriptive analytics"
"15","special section of management science: blockchains and crypto economics"
"13","special issue on business analytics"
"11","special section of management science: 65th anniversary"
"5","special issue on digital finance"
"5","market design, platform, and demand analytics"
"4","commentary"
"3","R&D and product development"
"3","virtual special issue on digital finance"
"2","special issue on ai for finance and business decisions"
"1","special issue of management science: business and climate change"
"1","special issue on the digital finance"
"1","revenue management and pricing department"
"1","finance and will be included in the virtual special issue on digital finance"