"Papers","Editor"
"180","David Simchi-Levi"
"156","Gustavo Manso"
"135","Yan Chen"
"129","Suraj Srinivasan"
"118","Serguei Netessine"
"110","Vishal Gaur"
"104","Uri Gneezy"
"93","Joshua Gans"
"89","Kay Giesecke"
"85","Lukas Schmid"
"81","Victoria Ivashina"
"80","Yuval Rottenstreich"
"77","Yossi Aviv"
"76","Brian Bushee"
"75","Matthew Shum"
"73","J. Miguel Villas-Boas"
"73","Manel Baucells"
"72","Pradeep Chintagunta"
"72","J. George Shanthikumar"
"71","Bruno Cassiman"
"71","Chris Forman"
"70","Chung-Piaw Teo"
"67","Will Cong"
"66","Tomasz Piskorski"
"65","Brad Barber"
"62","Yinyu Ye"
"59","Jayashankar Swaminathan"
"58","Wei Jiang"
"58","Agostino Capponi"
"57","Teck-Hua Ho"
"56","Wei Xiong"
"56","Ranjani Krishnan"
"54","Amit Seru"
"53","D.J. Wu"
"50","Shivaram Rajgopal"
"49","Martin Lariviere"
"49","Mary Barth"
"48","Juanjuan Zhang"
"45","John List"
"45","Eric Anderson"
"44","Lauren Cohen"
"44","Victor Martinez-de-Albeniz"
"43","Charles Corbett"
"42","Dmitri Kuksov"
"40","Neng Wang"
"39","Stefan Scholtes"
"38","Gabriel Weintraub"
"38","Jeannette Song"
"37","Anandhi Bharadwaj"
"37","Karl Diether"
"37","Omar Besbes"
"36","Lorin Hitt"
"36","Noah Gans"
"36","Gad Allon"
"34","Lee Fleming"
"34","Alfonso Gambardella"
"34","David Sraer"
"34","Bo Becker"
"33","Axel Ockenfels"
"33","Camelia Kuhnen"
"31","Dimitris Bertsimas"
"31","Tyler Shumway"
"30","Olav Sorenson"
"29","Baris Ata"
"28","Peter Wakker"
"28","Sandra Slaughter"
"28","Jesper Sorensen"
"27","Gerard P. Cachon"
"26","Raphael Thomadsen"
"25","Lamar Pierce"
"25","Anindya Ghose"
"25","Marie Claire Villeval"
"25","Eric So"
"24","Toby Stuart"
"24","Duncan Simester"
"24","Elena Katok"
"24","Bruno Biais"
"22","Preyas Desai"
"22","Jerome Detemple"
"22","Kartik Hosanagar"
"21","Ashish Arora"
"20","Assaf Zeevi"
"19","Dorothea Kubler"
"18","David Hsu"
"18","Ilia Tsetlin"
"18","Hamid Nazerzadeh"
"17","Carri Chan"
"15","Christian Terwiesch"
"15","Isabel Fernandez-Mateo"
"15","Hemant Bhargava"
"13","Haoxiang Zhu"
"13","Itai Ashlagi"
"12","James Smith"
"11","Itay Goldstein"
"11","Elke Weber"
"11","Karan Girotra"
"10","Kamalini Ramdas"
"10","Sridhar Tayur"
"10","Vivek Farias"
"10","Jack Soll"
"9","Maria Guadalupe"
"8","George Wu"
"8","Christoph Loch"
"8","Han Bleichrodt"
"8","Terry Taylor"
"8","Renee Adams"
"8","Jean-Pierre Dube"
"7","Colin Mayer"
"6","Alok Gupta"
"6","Caroline Flammer"
"5","Stefan Reichelstein"
"5","John Birge"
"5","Rakesh Sarin"
"5","Greta Hsu"
"5","Gui Liberali"
"5","Anita McGahan"
"5","Martin Bichler"
"5","Catherine Tucker"
"5","Felipe Caro"
"4","Eric Bradlow"
"4","George Serafeim"
"4","Sameer Srivastava"
"4","Peng Sun"
"4","Nicolas Stier-Moses"
"3","Ramayya Krishnan"
"3","Candace Yano"
"3","Sendil Ethiraj"
"3","Beril Toktay"
"3","Greg Shaffer"
"3","John Beshears"
"3","Jean-Edouard Colliard"
"2","Sampath Rajagopalan"
"2","Barrie Nault"
"2","Paul Zipkin"
"2","Ananth Iyer"
"2","Kalyan Talluri"
"2","Rajesh Chandy"
"1","Jagmohan Raju"
"1","Haitao Li"
"1","Michael Fu"
"1","Ioana Popescu"
"1","Jeffrey Hu"
"1","Uday Rajan"
"1","Ray Reagans"
"1","Melvyn Sim"
"1","Marie Thursby"
"1","Glen Dowell"
"1","Erica Plambeck"
"1","Jan Bouwens"
"1","Aurelien Baillon"
"1","Wolfram Wiesemann"
"1","Matt Marx"